SH4,PRODUTO
101,"Cavalos, asininos e muares, vivos"
102,Animais vivos da espécie bovina
103,Animais vivos da espécie suína
104,Animais vivos das espécies ovina e caprina
105,"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos"
106,Outros animais vivos
201,"Carnes de animais da espécie bovina, frescas ou refrigeradas"
202,"Carnes de animais da espécie bovina, congeladas"
203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas"
204,"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas"
205,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas"
206,"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas"
207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105"
208,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
209,"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados"
210,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas"
301,Peixes vivos
302,"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04"
303,"Peixes congelados, exceto os filés de peixes e outra carne de peixes da posição 03.04"
304,"Filés de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados"
305,"Peixes secos, salgados ou em salmoura; peixes defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets, de peixe, próprios para alimentação humana"
306,"Crustáceos, mesmo sem casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos com casca, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets de crustáceos, pr"
307,"Moluscos, com ou sem concha, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; invertebrados aquáticos, exceto crustáceos e moluscos, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets"
